(4, 4)
(195, 95)
(1, 1), (1, 3), (3, 3), (3, 1)
(1, 6), (1, 8), (3, 8), (3, 6)
(1, 11), (1, 13), (3, 13), (3, 11)
(1, 16), (1, 18), (3, 18), (3, 16)
(1, 21), (1, 23), (3, 23), (3, 21)
(1, 26), (1, 28), (3, 28), (3, 26)
(1, 31), (1, 33), (3, 33), (3, 31)
(1, 36), (1, 38), (3, 38), (3, 36)
(1, 41), (1, 43), (3, 43), (3, 41)
(1, 46), (1, 48), (3, 48), (3, 46)
(1, 51), (1, 53), (3, 53), (3, 51)
(1, 56), (1, 58), (3, 58), (3, 56)
(1, 61), (1, 63), (3, 63), (3, 61)
(1, 66), (1, 68), (3, 68), (3, 66)
(1, 71), (1, 73), (3, 73), (3, 71)
(1, 76), (1, 78), (3, 78), (3, 76)
(1, 81), (1, 83), (3, 83), (3, 81)
(1, 86), (1, 88), (3, 88), (3, 86)
(1, 91), (1, 93), (3, 93), (3, 91)
(1, 96), (1, 98), (3, 98), (3, 96)
(6, 1), (6, 3), (8, 3), (8, 1)
(6, 6), (6, 8), (8, 8), (8, 6)
(6, 11), (6, 13), (8, 13), (8, 11)
(6, 16), (6, 18), (8, 18), (8, 16)
(6, 21), (6, 23), (8, 23), (8, 21)
(6, 26), (6, 28), (8, 28), (8, 26)
(6, 31), (6, 33), (8, 33), (8, 31)
(6, 36), (6, 38), (8, 38), (8, 36)
(6, 41), (6, 43), (8, 43), (8, 41)
(6, 46), (6, 48), (8, 48), (8, 46)
(6, 51), (6, 53), (8, 53), (8, 51)
(6, 56), (6, 58), (8, 58), (8, 56)
(6, 61), (6, 63), (8, 63), (8, 61)
(6, 66), (6, 68), (8, 68), (8, 66)
(6, 71), (6, 73), (8, 73), (8, 71)
(6, 76), (6, 78), (8, 78), (8, 76)
(6, 81), (6, 83), (8, 83), (8, 81)
(6, 86), (6, 88), (8, 88), (8, 86)
(6, 91), (6, 93), (8, 93), (8, 91)
(6, 96), (6, 98), (8, 98), (8, 96)
(11, 1), (11, 3), (13, 3), (13, 1)
(11, 6), (11, 8), (13, 8), (13, 6)
(11, 11), (11, 13), (13, 13), (13, 11)
(11, 16), (11, 18), (13, 18), (13, 16)
(11, 21), (11, 23), (13, 23), (13, 21)
(11, 26), (11, 28), (13, 28), (13, 26)
(11, 31), (11, 33), (13, 33), (13, 31)
(11, 36), (11, 38), (13, 38), (13, 36)
(11, 41), (11, 43), (13, 43), (13, 41)
(11, 46), (11, 48), (13, 48), (13, 46)
(11, 51), (11, 53), (13, 53), (13, 51)
(11, 56), (11, 58), (13, 58), (13, 56)
(11, 61), (11, 63), (13, 63), (13, 61)
(11, 66), (11, 68), (13, 68), (13, 66)
(11, 71), (11, 73), (13, 73), (13, 71)
(11, 76), (11, 78), (13, 78), (13, 76)
(11, 81), (11, 83), (13, 83), (13, 81)
(11, 86), (11, 88), (13, 88), (13, 86)
(11, 91), (11, 93), (13, 93), (13, 91)
(11, 96), (11, 98), (13, 98), (13, 96)
(16, 1), (16, 3), (18, 3), (18, 1)
(16, 6), (16, 8), (18, 8), (18, 6)
(16, 11), (16, 13), (18, 13), (18, 11)
(16, 16), (16, 18), (18, 18), (18, 16)
(16, 21), (16, 23), (18, 23), (18, 21)
